"","datetime","doy","hour","Ta_shade","Ta_sun","Tg_avg","SOLR_wm2"
"c.18.8648541892582..69.2838582488756.",2021-09-13 13:00:00,256,13,27.4243911452659,34.2981103728553,44.0743562190669,887.707407826502
"c.18.9388915658845..67.217099719792.",2021-09-13 14:00:00,256,14,28.2065165169215,34.8166266061473,43.0779956428382,798.144661523641
"c.17.6019527119257..58.3911732490154.",2021-09-13 15:00:00,256,15,28.0624665935874,33.1351857602528,37.9965629804706,643.030797531437
"c.17.6536705295593..51.0227664145823.",2021-09-13 16:00:00,256,16,27.5805128519549,32.1871918743348,34.3382184720708,442.023751832056
"c.17.8027214684238..47.9626239570954.",2021-09-13 17:00:00,256,17,28.0550675675711,30.328294479419,32.8826727127596,232.210845335705
"c.20.8977199675009..27.3739589897269.",2021-09-13 18:00:00,256,18,26.20574219323,26.7902505927169,24.1358394786139,40.7645717821181
"c.19.0198394676639..21.6333315917386.",2021-09-13 19:00:00,256,19,22.9845312533077,23.2334255929981,20.3265855297012,0
"c.18.0440924964875..20.2434726430238.",2021-09-13 20:00:00,256,20,22.6988067175052,22.912189065594,19.1437825697556,0
"c.17.6536617935718..19.9946210970358.",2021-09-13 21:00:00,256,21,22.5068973572395,22.726753681325,18.8241414453038,0
"c.16.8390108852109..19.2407467124362.",2021-09-13 22:00:00,256,22,21.5656695391672,21.7593621637984,18.0398787988236,0
"c.16.6817653946828..18.669944897413.",2021-09-13 23:00:00,256,23,20.6087072062777,20.7411399350337,17.6758551460479,0
"c.17.6817296120172..18.2159847030974.",2021-09-14 00:00:00,257,0,20.649308049454,20.6852394030583,17.9488571575573,0
"c.18.2610602349965..18.3618075075072.",2021-09-14 01:00:00,257,1,22.0284011695927,22.042632394833,18.3114338712518,0
"c.15.9344229495653..16.5117517501867.",2021-09-14 02:00:00,257,2,21.6999685200209,21.7815200697018,16.223087349876,0
"c.13.2773104672527..14.0445479108038.",2021-09-14 03:00:00,257,3,16.5226305011736,16.6085442487805,13.6609291890283,0
"c.12.8908553882921..13.8417540238925.",2021-09-14 04:00:00,257,4,16.306099999396,16.4089916286068,13.3663047060923,0
"c.12.848621653608..13.7216907637312.",2021-09-14 05:00:00,257,5,16.6159201818005,16.709730015272,13.2851562086696,0
"c.12.8152354722226..13.6787316447007.",2021-09-14 06:00:00,257,6,16.7693695181787,16.8653963085755,13.2469835584617,0.615912942822042
"c.14.2217960313464..18.0247655567749.",2021-09-14 07:00:00,257,7,18.941569256607,19.3959480521959,16.1232807940606,95.7437032232468
"c.15.7384447739417..27.4720300982375.",2021-09-14 08:00:00,257,8,21.1973310765174,22.7426772026483,21.6052374360896,297.178352125587
"c.16.7636547118476..34.9912539940354.",2021-09-14 09:00:00,257,9,24.3672183228972,26.2029503565527,25.8774543529415,499.25096720608
"c.17.5076588371766..36.7254326577156.",2021-09-14 10:00:00,257,10,25.8531475865214,27.0152874849508,27.1165457474461,679.61353124776
"c.22.4570571520714..37.876419486586.",2021-09-14 11:00:00,257,11,26.8977667338124,27.657945762216,30.1667383193287,809.624362231882
"c.26.3644635257874..39.5175479846635.",2021-09-14 12:00:00,257,12,27.7538069471796,28.3955057177461,32.9410057552254,850.264465118456
"c.28.1089930326438..41.4663895130973.",2021-09-14 13:00:00,257,13,29.170106769632,29.8946801381365,34.7876912728706,780.001312043247
"c.28.1814519464317..41.4095481618706.",2021-09-14 14:00:00,257,14,29.3055180095516,30.1924194592624,34.7955000541512,599.50124666743
"c.27.2190704098601..41.8546067608814.",2021-09-14 15:00:00,257,15,28.4082637262828,29.4360763280909,34.5368385853707,612.928508848736
"c.25.8940106201537..35.435755818196.",2021-09-14 16:00:00,257,16,27.6721145770103,28.3145902023015,30.6648832191749,338.419280860322
"c.25.7270113542297..34.2646130995431.",2021-09-14 17:00:00,257,17,27.3225151259139,27.9108080958689,29.9958122268864,178.610536317473
"c.23.6259399351282..25.6389557619124.",2021-09-14 18:00:00,257,18,25.8556187700407,26.0277379831471,24.6324478485203,38.1626405461238
"c.20.1753815955043..20.6765444798457.",2021-09-14 19:00:00,257,19,22.4787482554306,22.5209218672184,20.425963037675,0
"c.19.4375218810555..19.8534132672975.",2021-09-14 20:00:00,257,20,22.7625746262103,22.7970520130312,19.6454675741765,0
"c.19.040461100692..19.5778693273824.",2021-09-14 21:00:00,257,21,22.5947758465629,22.6380932842738,19.3091652140372,0
"c.18.9496371018756..18.8983397419945.",2021-09-14 22:00:00,257,22,21.7711272429402,21.7670247514593,18.9239884219351,0
"c.18.5774385732936..18.3512887342309.",2021-09-14 23:00:00,257,23,21.2689329953379,21.2507453076952,18.4643636537622,0
"c.17.7127868110941..17.3254649383655.",2021-09-15 00:00:00,258,0,20.3068656358739,20.2749422322569,17.5191258747298,0
"c.17.1436866212501..16.7692955889505.",2021-09-15 01:00:00,258,1,19.8690971204721,19.8375509451742,16.9564911051003,0
"c.16.108383671181..15.6659316525894.",2021-09-15 02:00:00,258,2,18.5466565748856,18.5079305270709,15.8871576618852,0
"c.14.7966679006323..14.445270338755.",2021-09-15 03:00:00,258,3,16.7478249054896,16.7156504532673,14.6209691196937,0
"c.14.3456836183747..14.6200519379474.",2021-09-15 04:00:00,258,4,17.0988685532572,17.1220565950512,14.4828677781611,0
"c.14.7586626991469..15.2158938414562.",2021-09-15 05:00:00,258,5,17.4751836341547,17.5068078944876,14.9872782703016,0
"c.15.3155414807109..15.0823764577952.",2021-09-15 06:00:00,258,6,17.4411370799879,17.4205425284778,15.198958969253,0.514474153466551
"c.16.2487287725795..18.3798512556626.",2021-09-15 07:00:00,258,7,19.1642345113932,19.3774604502443,17.3142900141211,95.1801695311788
"c.18.0318954673345..27.9613550673895.",2021-09-15 08:00:00,258,8,22.0340406180547,23.2218124011075,22.996625267362,298.078411663404
"c.17.8584485783869..32.4692715064004.",2021-09-15 09:00:00,258,9,23.6183317063725,24.799390535089,25.1638600423936,499.883389479127
"c.21.1599428466419..34.1927948934007.",2021-09-15 10:00:00,258,10,24.9373120008426,25.626038669879,27.6763688700213,679.997272324079
"c.24.9570888234675..38.2891881844167.",2021-09-15 11:00:00,258,11,25.9951012643349,26.7066042637417,31.6231385039421,812.296036419163
"c.26.0455017247921..40.5255526347597.",2021-09-15 12:00:00,258,12,26.4792315498503,27.3132806893612,33.2855271797759,828.241504412706
"c.26.685433941942..41.9168123337664.",2021-09-15 13:00:00,258,13,27.3405835430145,28.2919996265087,34.3011231378542,782.038094124442
"c.28.1036947007061..47.7463989596818.",2021-09-15 14:00:00,258,14,28.9840361551899,30.5882869729365,37.9250468301939,764.253552913209
"c.27.1307083437017..43.7397124544352.",2021-09-15 15:00:00,258,15,28.6794222643442,29.9354383050776,35.4352103990685,599.963382147348
"c.26.6678911541557..37.4355403267416.",2021-09-15 16:00:00,258,16,28.6760962479574,29.4674091238453,32.0517157404486,391.18560855889
"c.26.6747659170943..36.2087518989796.",2021-09-15 17:00:00,258,17,27.6274645595571,28.3169910702521,31.4417589080369,156.660305435497
"c.24.2655189761891..26.2599590454779.",2021-09-15 18:00:00,258,18,26.309476440032,26.4668134342873,25.2627390108335,36.2261375754274
"c.22.5835011225329..22.9375245409419.",2021-09-15 19:00:00,258,19,25.212934822708,25.2404434476251,22.7605128317374,0
"c.20.793353664426..20.8143787086606.",2021-09-15 20:00:00,258,20,23.0374706160918,23.0390697970513,20.8038661865433,0
"c.19.797982601508..20.1033109283525.",2021-09-15 21:00:00,258,21,22.4276146365443,22.4504001086651,19.9506467649303,0
"c.19.1621216039232..18.7917676098123.",2021-09-15 22:00:00,258,22,21.1590388269167,21.1383214455247,18.9769446068677,0
"c.18.2293640844549..17.768549645893.",2021-09-15 23:00:00,258,23,19.1192165720485,19.0927845355165,17.9989568651739,0
"c.17.6280256076976..17.2261481554983.",2021-09-16 00:00:00,259,0,18.8100440152767,18.7867238796876,17.4270868815979,0
"c.17.2715440725155..16.6618972003709.",2021-09-16 01:00:00,259,1,18.4602338172105,18.4199654391465,16.9667206364432,0
"c.16.3447298451818..15.9350545778854.",2021-09-16 02:00:00,259,2,17.8219623038574,17.7944532372139,16.1398922115336,0
"c.15.6710958099803..13.9765090575905.",2021-09-16 03:00:00,259,3,16.6202041933957,16.4013030391099,14.8238024337854,0
"c.14.7450987452587..12.8965540135428.",2021-09-16 04:00:00,259,4,17.023826013107,16.7750122867311,13.8208263794008,0
"c.14.1560989053204..12.6953350539791.",2021-09-16 05:00:00,259,5,17.4536398309169,17.2552308015437,13.4257169796497,0
"c.13.8535717174451..12.8017471117412.",2021-09-16 06:00:00,259,6,18.0577012021368,17.91537077975,13.3276594145931,0.424233957348992
"c.14.6579835909835..17.0966653415627.",2021-09-16 07:00:00,259,7,18.9016526104149,19.2461326982336,15.8773244662731,95.2295914814734
"c.16.5102294273554..27.7358526159217.",2021-09-16 08:00:00,259,8,21.93191529634,23.5176095596025,22.1230410216385,297.514726855378
"c.15.9464590261734..33.9581092317386.",2021-09-16 09:00:00,259,9,22.8020158678338,24.7232795299153,24.952284128956,500.813833364919
"c.17.719093120216..40.3126044690913.",2021-09-16 10:00:00,259,10,23.9517863381372,25.8177958713603,29.0158487946537,680.309773280745
"c.23.0787607408837..45.6654065390057.",2021-09-16 11:00:00,259,11,26.6613415763241,28.3957948269361,34.3720836399447,810.867198025857
"c.26.681061874741..55.5726301203801.",2021-09-16 12:00:00,259,12,27.3417459932404,30.3604356699546,41.1268459975605,853.319345215897
"c.26.7727462563294..57.7563858003322.",2021-09-16 13:00:00,259,13,28.2642430322695,31.4044086759687,42.2645660283308,829.728070474448
"c.26.9748873775368..55.4090926689293.",2021-09-16 14:00:00,259,14,28.5940850309726,31.4824198061816,41.1919900232331,730.374992064368
"c.26.1333208142241..49.2496896276776.",2021-09-16 15:00:00,259,15,27.8006993092826,30.098530243,37.6915052209508,580.457487551647
"c.24.9466702068738..40.5672226103211.",2021-09-16 16:00:00,259,16,27.4080080249737,28.8685671276348,32.7569464085975,372.184302029654
"c.24.8663727135124..38.4529915547085.",2021-09-16 17:00:00,259,17,26.5178922633357,27.7570305279089,31.6596821341104,159.412639126288
"c.22.5052000923975..25.911605178235.",2021-09-16 18:00:00,259,18,25.1551991842601,25.4959474576726,24.2084026353162,31.5403798906496
"c.21.7254593464532..23.150053526762.",2021-09-16 19:00:00,259,19,26.0560705808702,26.2060756974377,22.4377564366076,0
"c.19.9392182867218..20.367245703507.",2021-09-16 20:00:00,259,20,23.0433488152213,23.0904309369598,20.1532319951144,0
"c.18.9655227325749..19.2059006255868.",2021-09-16 21:00:00,259,21,22.5586940201982,22.5869061412546,19.0857116790809,0
"c.17.8162046136449..17.9501043213485.",2021-09-16 22:00:00,259,22,21.4217504318421,21.4380216781769,17.8831544674967,0
"c.17.0387489300614..17.3086125768641.",2021-09-16 23:00:00,259,23,21.047336470488,21.0796770279513,17.1736807534627,0
"c.16.2551805442866..16.475049588231.",2021-09-17 00:00:00,260,0,20.0052526440622,20.0308606111853,16.3651150662588,0
"c.15.8941645835851..15.7881340486095.",2021-09-17 01:00:00,260,1,19.4776694589212,19.4639286133378,15.8411493160973,0
"c.15.8431806132951..15.8621974604255.",2021-09-17 02:00:00,260,2,20.9446743770876,20.9473606337785,15.8526890368603,0
"c.15.6267999709913..16.935014647288.",2021-09-17 03:00:00,260,3,21.1416320086338,21.3264260706181,16.2809073091397,0
"c.15.3920103180234..17.6808547010779.",2021-09-17 04:00:00,260,4,21.6563785792193,21.9346823606334,16.5364325095507,0
"c.15.5511273028622..18.2344854234492.",2021-09-17 05:00:00,260,5,21.9590968415688,22.2528527017255,16.8928063631557,0
"c.16.0962194350387..18.7099405377059.",2021-09-17 06:00:00,260,6,21.4147540773349,21.6881546165976,17.4030799863723,0.317672769769324
"c.17.0248495847566..21.941700575795.",2021-09-17 07:00:00,260,7,20.5537622866164,21.1655642233937,19.4832750802758,90.8482521673702
"c.18.7456362884243..32.7104372644899.",2021-09-17 08:00:00,260,8,22.2398694151034,24.2124908387322,25.7280367764571,289.478434022853
"c.19.7958081473119..43.6333841214345.",2021-09-17 09:00:00,260,9,23.4523596173825,26.6126211517695,31.7145961343732,487.338890077241
"c.20.8716092068645..54.6997915311206.",2021-09-17 10:00:00,260,10,24.099170082357,28.592826127069,37.7857003689925,673.614702989756
"c.22.5681763311221..63.0498764747456.",2021-09-17 11:00:00,260,11,25.2468504872837,30.9651610529047,42.8090264029339,755.538665207092
"c.20.6676248682758..49.8551800528449.",2021-09-17 12:00:00,260,12,24.6300866677581,27.9994571650386,35.2614024605603,469.817585868206
"c.22.5536572812181..52.6433561296848.",2021-09-17 13:00:00,260,13,25.8989368990459,30.1493078624958,37.5985067054515,549.18395343329
"c.22.4844247301866..52.1978769544123.",2021-09-17 14:00:00,260,14,26.8880193998658,30.5220718195729,37.3411508422994,553.71340267618
"c.22.7289054324639..48.9031399192208.",2021-09-17 15:00:00,260,15,26.5127551567016,29.4149412813415,35.8160226758424,529.465907672182
"c.23.2389794479065..43.7403457862955.",2021-09-17 16:00:00,260,16,26.8883710943977,29.1950277864634,33.489662617101,374.218045318568
"c.23.2748217683571..42.108802467728.",2021-09-17 17:00:00,260,17,25.6303346287664,27.7392354039381,32.6918121180426,184.090609451713
"c.21.7719800966124..28.1680324392239.",2021-09-17 18:00:00,260,18,26.2554961198467,27.0231574178874,24.9700062679182,27.127641759546
"c.20.3198072953711..23.3667255664318.",2021-09-17 19:00:00,260,19,24.3119528162799,24.6608678180879,21.8432664309014,0
"c.18.7221691071163..20.6225547959017.",2021-09-17 20:00:00,260,20,21.7535346949382,21.9695816125176,19.672361951509,0
"c.18.0191273248467..19.561455841398.",2021-09-17 21:00:00,260,21,21.3911328663548,21.5652145798998,18.7902915831224,0
"c.17.5211389305856..18.8417647248795.",2021-09-17 22:00:00,260,22,20.8959445023589,21.0508542482488,18.1814518277326,0
"c.16.8424137043017..17.9439973790834.",2021-09-17 23:00:00,260,23,20.4727993622424,20.6185945471152,17.3932055416926,0
"c.16.4712174119537..18.0865355927077.",2021-09-18 00:00:00,261,0,21.7515440185703,21.9797185020301,17.2788765023307,0
